"AC",00665,00666,00565,00566,00567,00465,00466,00467,00366,00367,00368,00266,00267,00268,00167
"AP",22858,22859,22758,22759,22760,22657,22658,22659,22660,22661,22558,22559,22560,22561
"AM",00663,00664,00665,00559,00560,00563,00564,00565,00459,00460,00461,00462,00463,00464,00465,00358,00359,00360,00361,00362,00363,00364,00365,00366,00259,00260,00261,00262,00263,00264,00265,00266,00267,00158,00159,00160,00161,00162,00163,00164,00165,00166,00167,23359,23360,23361,23362,23363,23364,23365,23366,23367,23260,23261,23262,23263,23264,23265,23266,23160,23161,23162,23163,23164,23165,23166,23060,23061,23062,23063,23064,23065,23066,22961,22962,22963,22964,22965,22966,22861,22862
"MA",22363,22364,22261,22262,22263,22264,22265,22161,22162,22163,22164,22165,22166,22167,22062,22063,22064,22065,22067
"MT",23166,23167,23168,23066,23067,23068,23069,22965,22966,22967,22968,22969,22970,22971,22866,22867,22868,22869,22870,22871,22872,22767,22768,22769,22770,22771,22772,22667,22668,22669,22670,22671,22672,22567,22568,22569,22570,22571,22572,22467,22468,22469,22470,22471,22472,22473,22367,22368,22369,22370,22371
"PA",23059,23060,23061,22958,22959,22960,22961,22962,22963,22964,22965,22858,22859,22860,22861,22862,22863,22864,22865,22866,22759,22760,22761,22762,22763,22764,22765,22766,22767,22660,22661,22662,22663,22664,22665,22666,22667,22559,22560,22561,22562,22563,22564,22565,22566,22567,22460,22461,22462,22463,22464,22465,22466,22467,22360,22361,22362,22363,22364,22365,22366,22367,22261,22262,22263
"RO",00166,00167,23366,23367,23368,23265,23266,23267,23268,23269,23166,23167,23168,23169,23068,23069,22968,22969
"RR",00257,00157,00158,23357,23358,23359,23360,23256,23257,23258,23259,23260,23261,23157,23158,23159,23160,23161,23059,23060
"TO",22364,22365,22366,22367,22368,22369,22264,22265,22266,22267,22268,22269,22166,22167,22168,22169,22067,22068,22069
